Miasto,Powiat,Województwo,Powierzchnia [ha] (01.01.2021),Liczba ludności (01.01.2021),Gęstość zaludnienia [osoby/km²] (01.01.2021)
Ciepielów,lipski,mazowieckie,686,738,108
Cieszanów,lubaczowski,podkarpackie,1506,1922,128
Cieszyn,cieszyński,śląskie,2861,33981,1188
Ciężkowice,tarnowski,małopolskie,999,2447,245
Cybinka,słubicki,lubuskie,529,2768,523
Czaplinek,drawski,zachodniopomorskie,1362,7094,521
Czarna Białostocka,białostocki,podlaskie,1428,9198,644
Czarna Woda,starogardzki,pomorskie,994,2763,278
Czarne,człuchowski,pomorskie,4643,5830,126
Czarnków,czarnkowsko-trzcianecki,wielkopolskie,1017,10464,1029
Czarny Dunajec,nowotarski,małopolskie,3797,3772,99
Czchów,brzeski,małopolskie,1409,2323,165
Czechowice-Dziedzice,bielski,śląskie,3291,35839,1089
Czeladź,będziński,śląskie,1638,31039,1895
Czemierniki,radzyński,lubelskie,465,1307,281
Czempiń,kościański,wielkopolskie,332,4932,1486
Czerniejewo,gnieźnieński,wielkopolskie,1019,2671,262
Czersk,chojnicki,pomorskie,973,9900,1017
Czerwieńsk,zielonogórski,lubuskie,936,3947,422
Czerwińsk nad Wisłą,płoński,mazowieckie,548,1010,184
Czerwionka-Leszczyny,rybnicki,śląskie,3763,27888,741
Częstochowa,Częstochowa,śląskie,15971,217530,1362
Człopa,wałecki,zachodniopomorskie,627,2308,368
Człuchów,człuchowski,pomorskie,1278,13479,1055
Czyżew,wysokomazowiecki,podlaskie,523,2646,506
Ćmielów,ostrowiecki,świętokrzyskie,1334,2984,224
Daleszyce,kielecki,świętokrzyskie,1550,2856,184
Darłowo,sławieński,zachodniopomorskie,2021,13574,672
Dąbie,kolski,wielkopolskie,880,1982,225
Dąbrowa Białostocka,sokólski,podlaskie,2264,5402,239
Dąbrowa Górnicza,Dąbrowa Górnicza,śląskie,18873,118285,627
Dąbrowa Tarnowska,dąbrowski,małopolskie,2320,11844,511
Dąbrowice,kutnowski,łódzkie,1848,847,46
Debrzno,człuchowski,pomorskie,751,5020,668
Dębica,dębicki,podkarpackie,3383,45189,1336
Dęblin,rycki,lubelskie,3833,15887,414
Dębno,myśliborski,zachodniopomorskie,1951,13626,698
Dobczyce,myślenicki,małopolskie,1297,6425,495
Dobiegniew,strzelecko-drezdenecki,lubuskie,569,3017,530
Dobra,łobeski,zachodniopomorskie,237,2296,969
Dobra,turecki,wielkopolskie,184,1352,735
Dobre,miński,mazowieckie,861,1826,212
Dobre Miasto,olsztyński,warmińsko-mazurskie,486,10010,2060
Dobrodzień,oleski,opolskie,1953,3665,188
Dobrzany,stargardzki,zachodniopomorskie,534,2218,415
Dobrzyca,pleszewski,wielkopolskie,1970,3112,158
Dobrzyń nad Wisłą,lipnowski,kujawsko-pomorskie,541,2072,383
Dolsk,śremski,wielkopolskie,620,1553,250
Drawno,choszczeński,zachodniopomorskie,503,2250,447
Drawsko Pomorskie,drawski,zachodniopomorskie,2233,11417,511
Drezdenko,strzelecko-drezdenecki,lubuskie,1072,9978,931
Drobin,płocki,mazowieckie,965,2821,292
Drohiczyn,siemiatycki,podlaskie,1569,1932,123
Drzewica,opoczyński,łódzkie,481,3803,791
Dubiecko,przemyski,podkarpackie,239,866,362
Dukla,krośnieński,podkarpackie,548,2044,373
Duszniki-Zdrój,kłodzki,dolnośląskie,2228,4422,198
Dynów,rzeszowski,podkarpackie,2455,6063,247
Działdowo,działdowski,warmińsko-mazurskie,1147,21145,1844
Działoszyce,pińczowski,świętokrzyskie,192,902,470
Działoszyn,pajęczański,łódzkie,494,5746,1163
Dzierzgoń,sztumski,pomorskie,390,5320,1364
Dzierżoniów,dzierżoniowski,dolnośląskie,2007,32869,1638
Dziwnów,kamieński,zachodniopomorskie,652,2647,406
Elbląg,Elbląg,warmińsko-mazurskie,7982,118582,1486
Ełk,ełcki,warmińsko-mazurskie,2105,61903,2941
Frampol,biłgorajski,lubelskie,467,1432,307
Frombork,braniewski,warmińsko-mazurskie,759,2305,304
Garwolin,garwoliński,mazowieckie,2208,17548,795
Gąbin,płocki,mazowieckie,2795,4082,146
Gąsawa,żniński,kujawsko-pomorskie,693,1406,203
Gdańsk,Gdańsk,pomorskie,26196,470805,1797
Gdynia,Gdynia,pomorskie,13514,244969,1813
Gielniów,przysuski,mazowieckie,1207,779,65
Giżycko,giżycki,warmińsko-mazurskie,1372,28964,2111
Glinojeck,ciechanowski,mazowieckie,737,2976,404
Gliwice,Gliwice,śląskie,13388,177049,1322
Głogów,głogowski,dolnośląskie,3511,66120,1883
Głogów Małopolski,rzeszowski,podkarpackie,3820,9800,257
Głogówek,prudnicki,opolskie,2206,5563,252
Głowaczów,kozienicki,mazowieckie,596,825,138
Głowno,zgierski,łódzkie,1984,13961,704
Głubczyce,głubczycki,opolskie,1254,12441,992
