Miasto,Powiat,Województwo,Powierzchnia [ha] (01.01.2021),Liczba ludności (01.01.2021),Gęstość zaludnienia [osoby/km²] (01.01.2021)
Mikołajki,mrągowski,warmińsko-mazurskie,932,3741,401
Mikołów,mikołowski,śląskie,7921,41003,518
Mikstat,ostrzeszowski,wielkopolskie,252,1812,719
Milanówek,grodziski,mazowieckie,1344,16478,1226
Milicz,milicki,dolnośląskie,1350,11199,830
Miłakowo,ostródzki,warmińsko-mazurskie,876,2540,290
Miłomłyn,ostródzki,warmińsko-mazurskie,1238,2421,196
Miłosław,wrzesiński,wielkopolskie,446,3534,792
Mińsk Mazowiecki,miński,mazowieckie,1318,40916,3104
Mirosławiec,wałecki,zachodniopomorskie,241,3054,1267
Mirsk,lwówecki,dolnośląskie,1466,3786,258
Mława,mławski,mazowieckie,3480,31129,895
Młynary,elbląski,warmińsko-mazurskie,276,1763,639
Modliborzyce,janowski,lubelskie,789,1459,185
Mogielnica,grójecki,mazowieckie,1298,2193,169
Mogilno,mogileński,kujawsko-pomorskie,832,11652,1400
Mońki,moniecki,podlaskie,766,9933,1297
Morawica,kielecki,świętokrzyskie,438,1708,390
Morąg,ostródzki,warmińsko-mazurskie,611,13459,2203
Mordy,siedlecki,mazowieckie,454,1710,377
Moryń,gryfiński,zachodniopomorskie,554,1612,291
Mosina,poznański,wielkopolskie,1350,14255,1056
Mrągowo,mrągowski,warmińsko-mazurskie,1481,21302,1438
Mrocza,nakielski,kujawsko-pomorskie,501,4298,858
Mrozy,miński,mazowieckie,773,3586,464
Mszana Dolna,limanowski,małopolskie,2710,7899,291
Mszczonów,żyrardowski,mazowieckie,856,6290,735
Murowana Goślina,poznański,wielkopolskie,862,10410,1208
Muszyna,nowosądecki,małopolskie,2443,4737,194
Mysłowice,Mysłowice,śląskie,6562,74559,1136
Myszków,myszkowski,śląskie,7359,31261,425
Myszyniec,ostrołęcki,mazowieckie,1122,3397,303
Myślenice,myślenicki,małopolskie,3022,18325,606
Myślibórz,myśliborski,zachodniopomorskie,1504,11049,735
Nakło nad Notecią,nakielski,kujawsko-pomorskie,1082,18026,1666
Nałęczów,puławski,lubelskie,1382,3727,270
Namysłów,namysłowski,opolskie,2261,16622,735
Narol,lubaczowski,podkarpackie,1242,2040,164
Nasielsk,nowodworski,mazowieckie,1257,7650,609
Nekla,wrzesiński,wielkopolskie,1979,3851,195
Nidzica,nidzicki,warmińsko-mazurskie,686,13547,1975
Niemcza,dzierżoniowski,dolnośląskie,1981,2932,148
Niemodlin,opolski,opolskie,1311,6223,475
Niepołomice,wielicki,małopolskie,2740,14022,512
Nieszawa,aleksandrowski,kujawsko-pomorskie,979,1834,187
Nisko,niżański,podkarpackie,6096,15193,249
Nowa Dęba,tarnobrzeski,podkarpackie,1670,11006,659
Nowa Ruda,kłodzki,dolnośląskie,3705,21643,584
Nowa Sarzyna,leżajski,podkarpackie,915,5740,627
Nowa Słupia,kielecki,świętokrzyskie,1397,1356,97
Nowa Sól,nowosolski,lubuskie,2180,38191,1752
Nowe,świecki,kujawsko-pomorskie,357,5724,1603
Nowe Brzesko,proszowicki,małopolskie,726,1654,228
Nowe Miasteczko,nowosolski,lubuskie,329,2724,828
Nowe Miasto,płoński,mazowieckie,892,1530,172
Nowe Miasto Lubawskie,nowomiejski,warmińsko-mazurskie,1137,10709,942
Nowe Miasto nad Pilicą,grójecki,mazowieckie,1125,3672,326
Nowe Skalmierzyce,ostrowski,wielkopolskie,158,4744,3003
Nowe Warpno,policki,zachodniopomorskie,2451,1178,48
Nowogard,goleniowski,zachodniopomorskie,1257,16448,1309
Nowogrodziec,bolesławiecki,dolnośląskie,1610,4263,265
Nowogród,łomżyński,podlaskie,2055,2150,105
Nowogród Bobrzański,zielonogórski,lubuskie,1463,5060,346
Nowy Dwór Gdański,nowodworski,pomorskie,507,9862,1945
Nowy Dwór Mazowiecki,nowodworski,mazowieckie,2821,28691,1017
Nowy Korczyn,buski,świętokrzyskie,745,904,121
Nowy Sącz,Nowy Sącz,małopolskie,5758,83558,1451
Nowy Staw,malborski,pomorskie,467,4226,905
Nowy Targ,nowotarski,małopolskie,5107,33257,651
Nowy Tomyśl,nowotomyski,wielkopolskie,520,14319,2754
Nowy Wiśnicz,bocheński,małopolskie,497,2763,556
Nysa,nyski,opolskie,2751,43356,1576
Oborniki,obornicki,wielkopolskie,1408,17848,1268
Oborniki Śląskie,trzebnicki,dolnośląskie,1446,9075,628
Obrzycko,szamotulski,wielkopolskie,374,2385,638
Odolanów,ostrowski,wielkopolskie,476,5114,1074
Odrzywół,przysuski,mazowieckie,793,967,122
Ogrodzieniec,zawierciański,śląskie,2856,4243,149
Okonek,złotowski,wielkopolskie,601,3842,639
Olecko,olecki,warmińsko-mazurskie,1154,16364,1418
Olesno,oleski,opolskie,1508,9353,620
Oleszyce,lubaczowski,podkarpackie,508,2948,580
Oleśnica,oleśnicki,dolnośląskie,2096,36979,1764
Oleśnica,staszowski,świętokrzyskie,1004,1809,180
Olkusz,olkuski,małopolskie,2565,34757,1355
Olsztyn,częstochowski,śląskie,3425,2499,73
Olsztyn,Olsztyn,warmińsko-mazurskie,8833,171249,1939
Olsztynek,olsztyński,warmińsko-mazurskie,769,7491,974
Olszyna,lubański,dolnośląskie,2026,4325,213
Oława,oławski,dolnośląskie,2736,33087,1209
Opalenica,nowotomyski,wielkopolskie,642,9545,1487
Opatowiec,kazimierski,świętokrzyskie,547,336,61
Opatów,opatowski,świętokrzyskie,936,6374,681
Opatówek,kaliski,wielkopolskie,868,3611,416
Opoczno,opoczyński,łódzkie,2699,20746,769
Opole,Opole,opolskie,14888,127839,859
Opole Lubelskie,opolski,lubelskie,1512,8320,550
Orneta,lidzbarski,warmińsko-mazurskie,963,8648,898
Orzesze,mikołowski,śląskie,8371,21290,254
Orzysz,piski,warmińsko-mazurskie,817,5526,676
Osieck,otwocki,mazowieckie,2659,1099,41
Osieczna,leszczyński,wielkopolskie,476,2392,503
Osiek,staszowski,świętokrzyskie,1743,1970,113
Osjaków,wieluński,łódzkie,828,1350,163
Ostrołęka,Ostrołęka,mazowieckie,3346,51656,1544
Ostroróg,szamotulski,wielkopolskie,125,1916,1533
Ostrowiec Świętokrzyski,ostrowiecki,świętokrzyskie,4643,67404,1452
Ostróda,ostródzki,warmińsko-mazurskie,1415,32714,2312
Ostrów Lubelski,lubartowski,lubelskie,2977,2089,70
Ostrów Mazowiecka,ostrowski,mazowieckie,2227,22216,998
Ostrów Wielkopolski,ostrowski,wielkopolskie,4190,71560,1708
Ostrzeszów,ostrzeszowski,wielkopolskie,1213,13964,1151
Ośno Lubuskie,słubicki,lubuskie,801,3896,486
Oświęcim,oświęcimski,małopolskie,3000,37569,1252
Otmuchów,nyski,opolskie,4954,6474,131
Otwock,otwocki,mazowieckie,4731,44317,937
Otyń,nowosolski,lubuskie,786,1641,209
Ozimek,opolski,opolskie,325,8480,2609
Ozorków,zgierski,łódzkie,1546,19128,1237
Ożarów,opatowski,świętokrzyskie,779,4451,571
Ożarów Mazowiecki,warszawski zachodni,mazowieckie,813,12432,1529
Pabianice,pabianicki,łódzkie,3299,63945,1938
Pacanów,buski,świętokrzyskie,713,1132,159
Paczków,nyski,opolskie,660,7366,1116
Pajęczno,pajęczański,łódzkie,2023,6651,329
Pakość,inowrocławski,kujawsko-pomorskie,346,5624,1625
Parczew,parczewski,lubelskie,805,10555,1311
Parzęczew,zgierski,łódzkie,645,919,143
Pasłęk,elbląski,warmińsko-mazurskie,1064,12117,1139
Pasym,szczycieński,warmińsko-mazurskie,1518,2498,165
Pelplin,tczewski,pomorskie,442,7597,1719
Pełczyce,choszczeński,zachodniopomorskie,1307,2595,199
Piaseczno,piaseczyński,mazowieckie,1622,48670,3001
Piaski,świdnicki,lubelskie,844,2531,300
Piastów,pruszkowski,mazowieckie,576,22559,3916
Piątek,łęczycki,łódzkie,524,1690,323
Piechowice,karkonoski,dolnośląskie,4322,6082,141
Piekary Śląskie,Piekary Śląskie,śląskie,3998,54702,1368
Piekoszów,kielecki,świętokrzyskie,844,3167,375
Pieniężno,braniewski,warmińsko-mazurskie,381,2679,703
Pieńsk,zgorzelecki,dolnośląskie,992,5767,581
Pierzchnica,kielecki,świętokrzyskie,693,1160,167
Pieszyce,dzierżoniowski,dolnośląskie,1772,7012,396
Pilawa,garwoliński,mazowieckie,666,4564,685
Pilica,zawierciański,śląskie,822,1917,233
Pilzno,dębicki,podkarpackie,1604,4958,309
Piła,pilski,wielkopolskie,10268,72527,706
Piława Górna,dzierżoniowski,dolnośląskie,2093,6364,304
Pińczów,pińczowski,świętokrzyskie,1433,10524,734
Pionki,radomski,mazowieckie,1840,17902,973
Piotrków Kujawski,radziejowski,kujawsko-pomorskie,976,4392,450
Piotrków Trybunalski,Piotrków Trybunalski,łódzkie,6724,72250,1075
Pisz,piski,warmińsko-mazurskie,1008,19029,1888
Piszczac,bialski,lubelskie,330,2825,855
Piwniczna-Zdrój,nowosądecki,małopolskie,3830,5793,151
Pleszew,pleszewski,wielkopolskie,1338,16953,1267
Płock,Płock,mazowieckie,8804,118268,1343
Płońsk,płoński,mazowieckie,1160,21924,1890
Płoty,gryficki,zachodniopomorskie,412,3900,947
Pniewy,szamotulski,wielkopolskie,932,8084,867
Pobiedziska,poznański,wielkopolskie,1024,9451,923
Poddębice,poddębicki,łódzkie,587,7245,1234
Podkowa Leśna,grodziski,mazowieckie,1013,3801,375
Pogorzela,gostyński,wielkopolskie,436,2087,479
Polanica-Zdrój,kłodzki,dolnośląskie,1722,6228,362
Polanów,koszaliński,zachodniopomorskie,737,2881,391
Police,policki,zachodniopomorskie,3731,32243,864
Polkowice,polkowicki,dolnośląskie,2374,22435,945
Połaniec,staszowski,świętokrzyskie,1741,7988,459
Połczyn-Zdrój,świdwiński,zachodniopomorskie,721,7987,1108
Poniatowa,opolski,lubelskie,1526,8980,588
Poniec,gostyński,wielkopolskie,348,2878,827
Poręba,zawierciański,śląskie,3999,8461,212
Poznań,Poznań,wielkopolskie,26191,532048,2031
Prabuty,kwidzyński,pomorskie,729,8625,1183
Praszka,oleski,opolskie,935,7515,804
Prochowice,legnicki,dolnośląskie,985,3556,361
Proszowice,proszowicki,małopolskie,733,5977,815
Prószków,opolski,opolskie,1622,2561,158
Pruchnik,jarosławski,podkarpackie,1990,3740,188
Prudnik,prudnicki,opolskie,2050,20671,1008
Prusice,trzebnicki,dolnośląskie,1094,2226,203
Pruszcz,świecki,kujawsko-pomorskie,706,2710,384
Pruszcz Gdański,gdański,pomorskie,1647,31578,1917
Pruszków,pruszkowski,mazowieckie,1919,62623,3263
Przasnysz,przasnyski,mazowieckie,2516,17055,678
Przecław,mielecki,podkarpackie,1604,1788,111
Przedbórz,radomszczański,łódzkie,608,3458,569
Przedecz,kolski,wielkopolskie,298,1621,544
Przemków,polkowicki,dolnośląskie,617,6079,985
Przemyśl,Przemyśl,podkarpackie,4617,59779,1295
Przeworsk,przeworski,podkarpackie,2213,15105,683
Przyrów,częstochowski,śląskie,1207,1144,95
Przysucha,przysuski,mazowieckie,702,5769,822
Przytyk,radomski,mazowieckie,284,907,320
Pszczyna,pszczyński,śląskie,2249,25702,1143
Pszów,wodzisławski,śląskie,2044,13734,672
Puck,pucki,pomorskie,479,11139,2325
Puławy,puławski,lubelskie,5049,46965,930
Pułtusk,pułtuski,mazowieckie,2307,19294,836
Puszczykowo,poznański,wielkopolskie,1639,9575,584
Pyrzyce,pyrzycki,zachodniopomorskie,3879,12484,322
Pyskowice,gliwicki,śląskie,3089,18455,597
Pyzdry,wrzesiński,wielkopolskie,1216,3092,254
Rabka-Zdrój,nowotarski,małopolskie,3631,12662,349
Raciąż,płoński,mazowieckie,840,4390,523
Racibórz,raciborski,śląskie,7501,54259,723
Radków,kłodzki,dolnośląskie,1503,2401,160
Radlin,wodzisławski,śląskie,1253,17665,1410
Radłów,tarnowski,małopolskie,1683,2757,164
Radom,Radom,mazowieckie,11180,209296,1872
Radomsko,radomszczański,łódzkie,5143,45353,882
Radomyśl Wielki,mielecki,podkarpackie,879,3225,367
Radoszyce,konecki,świętokrzyskie,1717,3095,180
Radymno,jarosławski,podkarpackie,1362,5214,383
Radziejów,radziejowski,kujawsko-pomorskie,569,5499,966
Radzionków,tarnogórski,śląskie,1320,16903,1281
Radzymin,wołomiński,mazowieckie,2339,13313,569
Radzyń Chełmiński,grudziądzki,kujawsko-pomorskie,178,1784,1002
Radzyń Podlaski,radzyński,lubelskie,1931,15428,799
Rajgród,grajewski,podlaskie,3528,1539,44
Rakoniewice,grodziski,wielkopolskie,337,3619,1074
Raszków,ostrowski,wielkopolskie,205,2119,1034
Rawa Mazowiecka,rawski,łódzkie,1430,17193,1202
Rawicz,rawicki,wielkopolskie,887,20187,2276
Recz,choszczeński,zachodniopomorskie,1240,2873,232
Reda,wejherowski,pomorskie,3346,26707,798
Rejowiec,chełmski,lubelskie,650,2026,312
Rejowiec Fabryczny,chełmski,lubelskie,1428,4328,303
Resko,łobeski,zachodniopomorskie,449,4147,924
Reszel,kętrzyński,warmińsko-mazurskie,382,4535,1187
Rogoźno,obornicki,wielkopolskie,1124,11124,990
Ropczyce,ropczycko-sędziszowski,podkarpackie,4710,15864,337
Rozprza,piotrkowski,łódzkie,418,1689,404
Różan,makowski,mazowieckie,666,2698,405
Ruciane-Nida,piski,warmińsko-mazurskie,1707,4434,260
Ruda Śląska,Ruda Śląska,śląskie,7773,136423,1755
Rudnik nad Sanem,niżański,podkarpackie,3660,6677,182
Rumia,wejherowski,pomorskie,3010,49536,1646
Rybnik,Rybnik,śląskie,14836,137128,924
Rychtal,kępiński,wielkopolskie,396,1347,340
Rychwał,koniński,wielkopolskie,970,2353,243
Rydułtowy,wodzisławski,śląskie,1495,21385,1430
Rydzyna,leszczyński,wielkopolskie,220,2919,1327
Ryglice,tarnowski,małopolskie,2515,2830,113
Ryki,rycki,lubelskie,2722,9531,350
Rymanów,krośnieński,podkarpackie,1239,3774,305
Ryn,giżycki,warmińsko-mazurskie,414,2827,683
Rypin,rypiński,kujawsko-pomorskie,1096,15999,1460
Rzepin,słubicki,lubuskie,1142,6485,568
Rzeszów,Rzeszów,podkarpackie,12901,197863,1534
Rzgów,łódzki wschodni,łódzkie,1677,3382,202
Sandomierz,sandomierski,świętokrzyskie,2869,22997,802
Sanniki,gostyniński,mazowieckie,1176,1932,164
Sanok,sanocki,podkarpackie,3808,36999,972
Sejny,sejneński,podlaskie,449,5159,1149
Serock,legionowski,mazowieckie,1343,4658,347
Sędziszów,jędrzejowski,świętokrzyskie,792,6359,803
Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie,3699,12415,336
Sępopol,bartoszycki,warmińsko-mazurskie,463,1883,407
Sępólno Krajeńskie,sępoleński,kujawsko-pomorskie,655,9004,1375
Sianów,koszaliński,zachodniopomorskie,1588,6560,413
Siechnice,wrocławski,dolnośląskie,1563,8851,566
Siedlce,Siedlce,mazowieckie,3186,77813,2442
Siedliszcze,chełmski,lubelskie,1316,1406,107
Siemianowice Śląskie,Siemianowice Śląskie,śląskie,2550,66270,2599
Siemiatycze,siemiatycki,podlaskie,3625,14210,392
Sieniawa,przeworski,podkarpackie,674,2132,316
Siennica,miński,mazowieckie,534,2309,432
Sienno,lipski,mazowieckie,1070,928,87
Sieradz,sieradzki,łódzkie,5122,41390,808
Sieraków,międzychodzki,wielkopolskie,1408,5956,423
Sierpc,sierpecki,mazowieckie,1859,17788,957
Siewierz,będziński,śląskie,3866,5544,143
Skalbmierz,kazimierski,świętokrzyskie,713,1263,177
Skała,krakowski,małopolskie,297,3755,1264
Skarszewy,starogardzki,pomorskie,1079,7015,650
Skaryszew,radomski,mazowieckie,2749,4310,157
Skarżysko-Kamienna,skarżyski,świętokrzyskie,6439,44260,687
Skawina,krakowski,małopolskie,2050,24366,1189
Skępe,lipnowski,kujawsko-pomorskie,748,3542,474
Skierniewice,Skierniewice,łódzkie,3460,47655,1377
Skoczów,cieszyński,śląskie,985,14116,1433
Skoki,wągrowiecki,wielkopolskie,1120,4462,398
Skórcz,starogardzki,pomorskie,363,3603,993
Skwierzyna,międzyrzecki,lubuskie,3589,9454,263
Sława,wschowski,lubuskie,1490,4268,286
Sławków,będziński,śląskie,3667,6935,189
Sławno,sławieński,zachodniopomorskie,1583,12357,781
Słomniki,krakowski,małopolskie,343,4293,1252
Słubice,słubicki,lubuskie,1921,16623,865
Słupca,słupecki,wielkopolskie,1030,13564,1317
Słupsk,Słupsk,pomorskie,4315,89780,2081
Sobótka,wrocławski,dolnośląskie,3220,6954,216
Sochaczew,sochaczewski,mazowieckie,2619,35891,1370
Sochocin,płoński,mazowieckie,683,1900,278
Sokołów Małopolski,rzeszowski,podkarpackie,1554,4210,271
Sokołów Podlaski,sokołowski,mazowieckie,1751,18814,1074
Sokółka,sokólski,podlaskie,1859,17967,966
Solec Kujawski,bydgoski,kujawsko-pomorskie,1868,15614,836
Solec nad Wisłą,lipski,mazowieckie,2091,939,45
Sompolno,koniński,wielkopolskie,621,3472,559
Sopot,Sopot,pomorskie,1728,35286,2042
Sosnowiec,Sosnowiec,śląskie,9106,197586,2170
Sośnicowice,gliwicki,śląskie,1167,1927,165
Stalowa Wola,stalowowolski,podkarpackie,8252,59623,723
Starachowice,starachowicki,świętokrzyskie,3182,47638,1497
Stargard,stargardzki,zachodniopomorskie,4808,67579,1406
Starogard Gdański,starogardzki,pomorskie,2528,47272,1870
Stary Sącz,nowosądecki,małopolskie,1500,9016,601
Staszów,staszowski,świętokrzyskie,2688,14534,541
Stawiski,kolneński,podlaskie,1324,2159,163
Stawiszyn,kaliski,wielkopolskie,99,1461,1476
Stąporków,konecki,świętokrzyskie,1094,5569,509
Stepnica,goleniowski,zachodniopomorskie,340,2464,725
Stęszew,poznański,wielkopolskie,569,5903,1037
Stoczek Łukowski,łukowski,lubelskie,915,2480,271
Stopnica,buski,świętokrzyskie,455,1414,311
Stronie Śląskie,kłodzki,dolnośląskie,238,5616,2360
Strumień,cieszyński,śląskie,629,3659,582
Stryków,zgierski,łódzkie,815,3428,421
Strzegom,świdnicki,dolnośląskie,2049,15873,775
Strzelce Krajeńskie,strzelecko-drezdenecki,lubuskie,554,9833,1775
Strzelce Opolskie,strzelecki,opolskie,2997,17657,589
Strzeleczki,krapkowicki,opolskie,2774,1539,55
Strzelin,strzeliński,dolnośląskie,1274,12383,972
Strzelno,mogileński,kujawsko-pomorskie,446,5589,1253
Strzyżów,strzyżowski,podkarpackie,1389,8781,632
Sucha Beskidzka,suski,małopolskie,2765,9044,327
Suchań,stargardzki,zachodniopomorskie,357,1440,403
Suchedniów,skarżyski,świętokrzyskie,5940,8248,139
Suchowola,sokólski,podlaskie,2595,2137,82
Sulechów,zielonogórski,lubuskie,688,16592,2412
Sulejów,piotrkowski,łódzkie,2626,6130,233
Sulejówek,miński,mazowieckie,1931,19951,1033
Sulęcin,sulęciński,lubuskie,856,10005,1169
Sulmierzyce,krotoszyński,wielkopolskie,2929,2831,97
Sułkowice,myślenicki,małopolskie,1646,6658,404
Supraśl,białostocki,podlaskie,569,4582,805
Suraż,białostocki,podlaskie,3386,983,29
Susz,iławski,warmińsko-mazurskie,667,5529,829
Suwałki,Suwałki,podlaskie,6551,69639,1063
Swarzędz,poznański,wielkopolskie,823,29862,3628
Syców,oleśnicki,dolnośląskie,1705,10340,606
Szadek,zduńskowolski,łódzkie,1793,1898,106
Szamocin,chodzieski,wielkopolskie,467,4192,898
Szamotuły,szamotulski,wielkopolskie,1108,18736,1691
Szczawnica,nowotarski,małopolskie,3290,5655,172
Szczawno-Zdrój,wałbrzyski,dolnośląskie,1474,5534,375
Szczebrzeszyn,zamojski,lubelskie,2912,4962,170
Szczecin,Szczecin,zachodniopomorskie,30060,398255,1325
Szczecinek,szczecinecki,zachodniopomorskie,4848,39827,822
Szczekociny,zawierciański,śląskie,1803,3532,196
Szczucin,dąbrowski,małopolskie,685,4154,606
Szczuczyn,grajewski,podlaskie,1323,3341,253
Szczyrk,bielski,śląskie,3928,5711,145
Szczytna,kłodzki,dolnośląskie,8038,5044,63
Szczytno,szczycieński,warmińsko-mazurskie,1062,22813,2148
Szepietowo,wysokomazowiecki,podlaskie,284,2157,760
Szklarska Poręba,karkonoski,dolnośląskie,7544,6653,88
Szlichtyngowa,wschowski,lubuskie,155,1266,817
Szprotawa,żagański,lubuskie,1095,11530,1053
Sztum,sztumski,pomorskie,459,9798,2135
Szubin,nakielski,kujawsko-pomorskie,765,9578,1252
Szydłowiec,szydłowiecki,mazowieckie,2189,11557,528
Szydłów,staszowski,świętokrzyskie,1621,1095,68
Ścinawa,lubiński,dolnośląskie,1354,5526,408
Ślesin,koniński,wielkopolskie,718,3124,435
Śmigiel,kościański,wielkopolskie,530,5621,1061
Śrem,śremski,wielkopolskie,1237,29176,2359
Środa Śląska,średzki,dolnośląskie,1494,9562,640
Środa Wielkopolska,średzki,wielkopolskie,2192,23672,1080
Świątniki Górne,krakowski,małopolskie,444,2441,550
Świdnica,świdnicki,dolnośląskie,2176,56222,2584
Świdnik,świdnicki,lubelskie,2035,38763,1905
Świdwin,świdwiński,zachodniopomorskie,2238,15338,685
Świebodzice,świdnicki,dolnośląskie,3043,22642,744
Świebodzin,świebodziński,lubuskie,1693,21550,1273
Świecie,świecki,kujawsko-pomorskie,1187,25486,2147
Świeradów-Zdrój,lubański,dolnośląskie,2072,3995,193
Świerzawa,złotoryjski,dolnośląskie,176,2234,1269
Świętochłowice,Świętochłowice,śląskie,1331,49108,3690
Świnoujście,Świnoujście,zachodniopomorskie,20207,40948,203
Tarczyn,piaseczyński,mazowieckie,523,4150,793
Tarnobrzeg,Tarnobrzeg,podkarpackie,8540,46360,543
Tarnogród,biłgorajski,lubelskie,1069,3304,309
Tarnowskie Góry,tarnogórski,śląskie,8388,61756,736
Tarnów,Tarnów,małopolskie,7238,107498,1485
Tczew,tczewski,pomorskie,2238,59430,2655
Terespol,bialski,lubelskie,1011,5457,540
Tłuszcz,wołomiński,mazowieckie,791,8167,1032
Tolkmicko,elbląski,warmińsko-mazurskie,229,2644,1155
Tomaszów Lubelski,tomaszowski,lubelskie,1329,18783,1413
Tomaszów Mazowiecki,tomaszowski,łódzkie,4130,61338,1485
Toruń,Toruń,kujawsko-pomorskie,11572,198613,1716
Torzym,sulęciński,lubuskie,911,2520,277
Toszek,gliwicki,śląskie,971,3569,368
Trzcianka,czarnkowsko-trzcianecki,wielkopolskie,1830,17009,929
Trzciel,międzyrzecki,lubuskie,304,2339,769
Trzcińsko-Zdrój,gryfiński,zachodniopomorskie,233,2200,944
Trzebiatów,gryficki,zachodniopomorskie,1025,9899,966
Trzebinia,chrzanowski,małopolskie,3194,19507,611
Trzebnica,trzebnicki,dolnośląskie,1061,13314,1255
Trzemeszno,gnieźnieński,wielkopolskie,546,7606,1393
Tuchola,tucholski,kujawsko-pomorskie,1769,13534,765
Tuchów,tarnowski,małopolskie,1810,6510,360
Tuczno,wałecki,zachodniopomorskie,921,1919,208
Tuliszków,turecki,wielkopolskie,700,3204,458
Tułowice,opolski,opolskie,923,4026,436
Turek,turecki,wielkopolskie,1617,26441,1635
Turobin,biłgorajski,lubelskie,160,873,545
Tuszyn,łódzki wschodni,łódzkie,2325,7237,311
Twardogóra,oleśnicki,dolnośląskie,829,6597,796
Tychowo,białogardzki,zachodniopomorskie,396,2485,628
Tychy,Tychy,śląskie,8181,126871,1551
Tyczyn,rzeszowski,podkarpackie,967,3983,412
Tykocin,białostocki,podlaskie,2897,1966,68
Tyszowce,tomaszowski,lubelskie,1852,2054,111
Ujazd,tomaszowski,łódzkie,1030,1694,167
Ujazd,strzelecki,opolskie,1476,1734,117
Ujście,pilski,wielkopolskie,578,3623,627
Ulanów,niżański,podkarpackie,820,1427,174
Uniejów,poddębicki,łódzkie,1223,2957,242
Urzędów,kraśnicki,lubelskie,1291,1679,130
Ustka,słupski,pomorskie,1019,15199,1492
Ustroń,cieszyński,śląskie,5903,15989,271
Ustrzyki Dolne,bieszczadzki,podkarpackie,1679,8917,531
Wadowice,wadowicki,małopolskie,1054,18379,1744
Wałbrzych,Wałbrzych,dolnośląskie,8470,109971,1298
Wałcz,wałecki,zachodniopomorskie,3817,24949,654
Warka,grójecki,mazowieckie,2677,11926,445
Warszawa,Warszawa,mazowieckie,51724,1794166,3469
Warta,sieradzki,łódzkie,1085,3208,296
Wasilków,białostocki,podlaskie,2826,11802,418
Wąbrzeźno,wąbrzeski,kujawsko-pomorskie,853,13400,1571
Wąchock,starachowicki,świętokrzyskie,1602,2724,170
Wągrowiec,wągrowiecki,wielkopolskie,1783,25607,1436
Wąsosz,górowski,dolnośląskie,324,2647,817
Wejherowo,wejherowski,pomorskie,2699,49099,1819
Węgliniec,zgorzelecki,dolnośląskie,873,2802,321
Węgorzewo,węgorzewski,warmińsko-mazurskie,1088,11144,1024
Węgorzyno,łobeski,zachodniopomorskie,685,2771,405
Węgrów,węgrowski,mazowieckie,3551,12452,351
Wiązów,strzeliński,dolnośląskie,916,2198,240
Wielbark,szczycieński,warmińsko-mazurskie,1842,2981,162
Wieleń,czarnkowsko-trzcianecki,wielkopolskie,446,5758,1291
Wielichowo,grodziski,wielkopolskie,124,1774,1431
Wieliczka,wielicki,małopolskie,1341,24215,1806
Wieluń,wieluński,łódzkie,1687,21892,1298
Wieruszów,wieruszowski,łódzkie,597,8446,1415
Więcbork,sępoleński,kujawsko-pomorskie,431,5900,1369
Wilamowice,bielski,śląskie,1036,3142,303
Wiskitki,żyrardowski,mazowieckie,661,1347,204
Wisła,cieszyński,śląskie,11017,11007,100
Wiślica,buski,świętokrzyskie,471,506,107
Witkowo,gnieźnieński,wielkopolskie,831,7706,927
Witnica,gorzowski,lubuskie,824,6666,809
Wleń,lwówecki,dolnośląskie,722,1725,239
Władysławowo,pucki,pomorskie,1367,9830,719
Włocławek,Włocławek,kujawsko-pomorskie,8508,108561,1276
Włodawa,włodawski,lubelskie,1797,12915,719
Włodowice,zawierciański,śląskie,2348,1124,48
Włoszczowa,włoszczowski,świętokrzyskie,3030,9798,323
Wodzisław,jędrzejowski,świętokrzyskie,794,1082,136
Wodzisław Śląski,wodzisławski,śląskie,4951,47576,961
Wojcieszów,złotoryjski,dolnośląskie,3217,3572,111
Wojkowice,będziński,śląskie,1279,8877,694
Wojnicz,tarnowski,małopolskie,850,3310,389
Wolbórz,piotrkowski,łódzkie,1518,2301,152
Wolbrom,olkuski,małopolskie,1012,8480,838
Wolin,kamieński,zachodniopomorskie,1447,4739,328
Wolsztyn,wolsztyński,wielkopolskie,478,12859,2690
Wołczyn,kluczborski,opolskie,747,5787,775
Wołomin,wołomiński,mazowieckie,1724,36848,2137
Wołów,wołowski,dolnośląskie,1854,12298,663
Woźniki,lubliniecki,śląskie,7101,4298,61
Wrocław,Wrocław,dolnośląskie,29282,641928,2192
Wronki,szamotulski,wielkopolskie,581,11064,1904
Września,wrzesiński,wielkopolskie,1273,31000,2435
Wschowa,wschowski,lubuskie,925,13717,1483
Wyrzysk,pilski,wielkopolskie,412,5131,1245
Wysoka,pilski,wielkopolskie,482,2614,542
Wysokie Mazowieckie,wysokomazowiecki,podlaskie,1524,9336,613
Wyszków,wyszkowski,mazowieckie,2078,26980,1298
Wyszogród,płocki,mazowieckie,1297,2569,198
Wyśmierzyce,białobrzeski,mazowieckie,1684,896,53
Zabłudów,białostocki,podlaskie,1430,2490,174
Zabrze,Zabrze,śląskie,8040,170924,2126
Zagórów,słupecki,wielkopolskie,344,2902,844
Zagórz,sanocki,podkarpackie,2229,5093,228
Zakliczyn,tarnowski,małopolskie,402,1628,405
Zaklików,stalowowolski,podkarpackie,1142,2954,259
Zakopane,tatrzański,małopolskie,8426,26846,319
